,name,code,class,market_cap,reg_day,per
0,수산아이앤티,A050960,kosdaq,2596,2016/10/11,91.99
1,인포뱅크,A039290,kosdaq,1117,2006/07/04,75.59
2,현대오토에버,A307950,kospi,26355,2019/03/28,44.68
3,모비릭스,A348030,kosdaq,1986,2021/01/28,
4,NHN한국사이버결제,A060250,kosdaq,12221,2002/01/08,43.43
5,대신정보통신,A020180,kosdaq,776,1995/10/06,29.28
6,브리지텍,A064480,kosdaq,542,2008/06/04,62.99
7,민앤지,A214180,kosdaq,2225,2015/06/30,11.75
8,소프트센우,A032685,kosdaq,38,1997/07/18,"-1,477.78"
9,싸이버원,A356890,kosdaq,798,2021/03/11,34.96
10,버킷스튜디오,A066410,kosdaq,787,2003/12/19,-11.94
11,케이엘넷,A039420,kosdaq,876,2002/03/12,19.81
12,링네트,A042500,kosdaq,984,2002/01/10,12.87
13,티라유텍,A322180,kosdaq,913,2019/10/31,-84.42
14,오픈베이스,A049480,kosdaq,941,2001/01/09,38.40
15,카페24,A042000,kosdaq,6272,2018/02/08,93.80
16,SBI핀테크솔루션즈,A950110,kosdaq,2357,2012/12/17,18.96
17,솔트룩스,A304100,kosdaq,1613,2020/07/23,273.71
18,대아티아이,A045390,kosdaq,3735,2001/05/17,53.03
19,한솔인티큐브,A070590,kosdaq,491,2004/01/08,28.74
20,위세아이텍,A065370,kosdaq,875,2020/02/10,25.05
21,아이티센,A124500,kosdaq,1065,2014/12/23,17.15
22,우리들휴브레인,A118000,kospi,1139,2009/12/30,8.90
23,시티랩스,A139050,kosdaq,715,2011/07/29,-8.53
24,이엔코퍼레이션,A066980,kosdaq,2074,2003/01/17,-4.60
25,소프트센,A032680,kosdaq,658,1997/07/18,-102.22
26,한국전자인증,A041460,kosdaq,1616,2010/11/19,61.22
27,와이더플래닛,A321820,kosdaq,1733,2021/02/03,
28,롯데정보통신,A286940,kospi,5912,2018/07/27,19.79
29,포스코 ICT,A022100,kosdaq,11327,2000/11/28,130.70
30,콤텍시스템,A031820,kospi,1038,1997/02/12,-765.00
31,가비아,A079940,kosdaq,2105,2005/10/19,17.37
32,나무기술,A242040,kosdaq,914,2016/09/07,-20.14
33,미래테크놀로지,A213090,kosdaq,522,2015/12/01,19.88
34,이씨에스,A067010,kosdaq,893,2007/12/18,18.66
35,케이아이엔엑스,A093320,kosdaq,3689,2011/02/08,24.74
36,큐로컴,A040350,kosdaq,1631,2002/01/10,-14.22
37,KG이니시스,A035600,kosdaq,5539,2002/11/22,13.05
38,인포바인,A115310,kosdaq,677,2010/02/09,10.23
39,율호,A072770,kosdaq,922,2007/07/25,83.83
40,미래아이앤지,A007120,kospi,686,1999/11/26,3.49
41,한일네트웍스,A046110,kosdaq,721,2006/01/20,9.48
42,팍스넷,A038160,kosdaq,106,2016/08/01,-2.01
43,비츠로시스,A054220,kosdaq,1278,2001/12/26,5.88
44,이루온,A065440,kosdaq,451,2003/01/28,21.22
45,엔텔스,A069410,kosdaq,834,2007/06/20,11.32
46,데이타솔루션,A263800,kosdaq,943,2017/08/03,185.31
47,씨이랩,A189330,kosdaq,1394,2021/02/24,151.29
48,정원엔시스,A045510,kosdaq,617,2000/09/07,83.26
49,삼성에스디에스,A018260,kospi,147405,2014/11/14,33.24
50,세틀뱅크,A234340,kosdaq,3029,2019/07/12,26.16
51,케이씨에스,A115500,kosdaq,1057,2010/04/14,51.22
52,다날,A064260,kosdaq,5840,2004/07/23,33.22
53,에프앤가이드,A064850,kosdaq,1498,2020/12/17,29.31
54,아시아나IDT,A267850,kospi,2364,2018/11/23,-28.90
55,KG모빌리언스,A046440,kosdaq,3855,2004/12/14,16.50
56,DB,A012030,kospi,1752,1993/01/06,28.10
57,한국정보인증,A053300,kosdaq,2169,2014/02/04,22.24
58,다우기술,A023590,kospi,11912,1997/08/27,4.32
59,오파스넷,A173130,kosdaq,540,2018/08/24,8.98
60,엠브레인,A169330,kosdaq,797,2020/07/01,17.43
61,한네트,A052600,kosdaq,1353,2001/07/10,108.33
62,로지시스,A067730,kosdaq,1074,2015/07/29,222.00
63,핑거,A163730,kosdaq,1848,2021/01/29,46.08
64,쌍용정보통신,A010280,kosdaq,558,2000/04/14,-3.66
65,한국전자금융,A063570,kosdaq,2261,2006/07/14,65.54
66,유엔젤,A072130,kospi,546,2003/07/01,-90.00
67,비케이탑스,A030790,kospi,1615,2010/11/02,-2.54
68,신세계 I&C,A035510,kospi,2709,2006/05/18,3.89
69,갤럭시아머니트리,A094480,kosdaq,3142,2007/07/20,80.91
70,에스트래픽,A234300,kosdaq,1764,2017/12/05,-6.51
