,name,code,class,market_cap,reg_day,per
0,제일테크노스,A038010,kosdaq,922,2000/01/11,-20.79
1,이건홀딩스,A039020,kosdaq,831,2000/05/04,-460.00
2,대림B&Co,A005750,kospi,1084,1992/12/23,-64.36
3,정산애강,A022220,kosdaq,1116,2006/04/11,44.90
4,대림통상,A006570,kospi,630,1975/11/20,-4.96
5,W홀딩컴퍼니,A052300,kosdaq,970,2001/08/02,4.97
6,와토스코리아,A079000,kosdaq,575,2005/11/15,39.50
7,국영지앤엠,A006050,kosdaq,1000,1994/10/07,-77.43
8,다스코,A058730,kospi,779,2004/08/02,-9.86
9,뉴보텍,A060260,kosdaq,485,2002/02/05,-8.68
10,프럼파스트,A035200,kosdaq,476,2002/01/15,31.79
11,금강공업우,A014285,kospi,70,1988/09/10,-204.31
12,덕신하우징,A090410,kosdaq,659,2014/08/01,-7.94
13,금강공업,A014280,kospi,1657,1988/09/10,-98.45
14,삼목에스폼,A018310,kosdaq,1904,1996/05/03,269.79
15,윈하이텍,A192390,kosdaq,369,2014/07/25,43.80
