,name,code,class,market_cap,reg_day,per
0,조이맥스,A101730,kosdaq,1253,2009/06/03,-8.04
1,룽투코리아,A060240,kosdaq,1640,2002/01/04,57.08
2,위메이드,A112040,kosdaq,10769,2009/12/18,-147.02
3,넷게임즈,A225570,kosdaq,4039,2015/09/25,15.47
4,드래곤플라이,A030350,kosdaq,386,1997/11/10,-4.53
5,넷마블,A251270,kospi,109144,2017/05/12,34.82
6,엔씨소프트,A036570,kospi,194293,2003/05/22,33.08
7,넵튠,A217270,kosdaq,8492,2015/06/18,13.56
8,액션스퀘어,A205500,kosdaq,984,2014/11/12,-48.57
9,웹젠,A069080,kosdaq,14230,2003/05/23,16.51
10,미투젠,A950190,kosdaq,3329,2020/08/18,7.57
11,SNK,A950180,kosdaq,5771,2019/05/07,54.91
12,선데이토즈,A123420,kosdaq,2129,2010/11/10,14.54
13,펄어비스,A263750,kosdaq,43042,2017/09/14,42.14
14,더블유게임즈,A192080,kospi,12458,2019/03/12,11.07
15,NHN,A181710,kospi,14028,2013/08/29,65.42
16,게임빌,A063080,kosdaq,3156,2009/07/30,15.60
17,아이톡시,A052770,kosdaq,345,2002/08/22,-17.57
18,COWON,A056000,kosdaq,564,2003/07/11,143.00
19,카카오게임즈,A293490,kosdaq,38677,2020/09/10,37.64
20,네오위즈,A095660,kosdaq,5255,2007/07/02,8.68
21,조이시티,A067000,kosdaq,4351,2008/05/30,34.96
22,한빛소프트,A047080,kosdaq,1583,2002/01/10,-73.45
23,넥슨지티,A041140,kosdaq,4793,2000/07/25,120.98
24,컴투스,A078340,kosdaq,21165,2007/07/06,26.34
25,플레이위드,A023770,kosdaq,859,1994/11/07,6.36
26,액토즈소프트,A052790,kosdaq,1038,2001/08/14,6.66
27,네오위즈홀딩스,A042420,kosdaq,3321,2000/06/27,6.42
28,미투온,A201490,kosdaq,2113,2016/10/10,20.30
29,베노홀딩스,A206400,kosdaq,1442,2014/12/10,-9.39
30,베스파,A299910,kosdaq,2252,2018/12/03,-4.87
31,골프존,A215000,kosdaq,5798,2015/04/03,15.15
32,엠게임,A058630,kosdaq,1765,2008/12/19,25.95
33,썸에이지,A208640,kosdaq,5532,2014/12/29,-68.25
34,데브시스터즈,A194480,kosdaq,11617,2014/10/06,-194.49
