,name,code,class,market_cap,reg_day,per
0,실리콘웍스,A108320,kosdaq,13906,2010/06/08,19.17
1,선익시스템,A171090,kosdaq,1413,2017/09/20,61.09
2,HB테크놀러지,A078150,kosdaq,2788,2004/12/08,78.44
3,아이씨디,A040910,kosdaq,3050,2011/08/05,8.98
4,엘디티,A096870,kosdaq,312,2008/05/02,23.09
5,파인디앤씨,A049120,kosdaq,485,2001/07/26,-4.26
6,신화인터텍,A056700,kosdaq,1015,2001/12/13,30.57
7,케이엔제이,A272110,kosdaq,860,2019/10/25,-17.22
8,우리이앤엘,A153490,kosdaq,691,2013/02/05,-44.68
9,티로보틱스,A117730,kosdaq,1373,2018/11/29,-105.21
10,디바이스이엔지,A187870,kosdaq,2945,2017/12/20,9.69
11,로체시스템즈,A071280,kosdaq,964,2003/11/14,11.50
12,영우디에스피,A143540,kosdaq,953,2014/10/29,10.02
13,토비스,A051360,kosdaq,1404,2004/11/19,-21.93
14,AP시스템,A265520,kosdaq,4322,2017/04/07,18.28
15,이엘피,A063760,kosdaq,356,2017/04/06,27.19
16,DMS,A068790,kosdaq,2118,2004/10/01,4.93
17,한국컴퓨터,A054040,kosdaq,751,2002/01/15,8.59
18,동아엘텍,A088130,kosdaq,993,2007/01/03,10.48
19,비아트론,A141000,kosdaq,1454,2012/05/04,9.90
20,포인트엔지니어링,A256630,kosdaq,1943,2017/05/02,22.03
21,에프엔에스테크,A083500,kosdaq,1065,2017/02/27,12.33
22,제이엠티,A094970,kosdaq,604,2007/10/12,11.37
23,야스,A255440,kosdaq,1763,2017/09/29,15.10
24,힘스,A238490,kosdaq,1550,2017/07/20,9.01
25,SK머티리얼즈,A036490,kosdaq,35598,1999/12/14,27.49
26,인베니아,A079950,kosdaq,609,2005/02/04,-12.74
27,서울반도체,A046890,kosdaq,10961,2002/01/17,61.64
28,케이피에스,A256940,kosdaq,2320,2017/09/06,-92.07
29,에스엔유,A080000,kosdaq,1442,2005/01/25,28.97
30,APS홀딩스,A054620,kosdaq,1950,2001/12/04,-4.16
31,세진티에스,A067770,kosdaq,425,2004/01/09,10.04
32,탑엔지니어링,A065130,kosdaq,1500,2003/01/29,-37.11
33,예선테크,A250930,kosdaq,838,2016/09/29,49.80
34,미래컴퍼니,A049950,kosdaq,2705,2005/01/04,-18.69
35,위지트,A036090,kosdaq,1985,1999/12/10,22.22
36,새로닉스,A042600,kosdaq,1478,2002/10/01,-86.23
37,비보존 헬스케어,A082800,kosdaq,2396,2005/11/18,-4.49
38,베셀,A177350,kosdaq,684,2015/06/19,-68.65
39,한솔테크닉스,A004710,kospi,3436,1988/07/06,13.11
40,브이원텍,A251630,kosdaq,1610,2017/07/13,29.23
41,아바코,A083930,kosdaq,2011,2005/10/11,14.17
42,제이엠아이,A033050,kosdaq,440,1997/08/18,-5.92
43,클라우드에어,A036170,kosdaq,663,1999/12/21,-5.13
44,천보,A278280,kosdaq,16950,2019/02/11,62.00
45,아바텍,A149950,kosdaq,2560,2012/11/06,48.96
46,덕산테코피아,A317330,kosdaq,3822,2019/08/02,29.97
47,지스마트글로벌,A114570,kosdaq,70,2010/02/04,-0.11
48,아나패스,A123860,kosdaq,2852,2010/11/05,-5.45
49,필옵틱스,A161580,kosdaq,2555,2017/06/01,51.87
50,매직마이크로,A127160,kosdaq,228,2015/11/19,-0.40
51,이큐셀,A160600,kosdaq,186,2015/06/26,-1.27
52,GRT,A900290,kosdaq,641,2016/10/25,1.55
