,name,code,class,market_cap,reg_day,per
0,피에스케이홀딩스,A031980,kosdaq,2253,1997/01/07,3.55
1,한미반도체,A042700,kospi,14640,2005/07/22,30.67
2,오디텍,A080520,kosdaq,994,2007/10/08,18.08
3,타이거일렉,A219130,kosdaq,808,2015/09/25,18.26
4,GST,A083450,kosdaq,2353,2006/02/01,14.89
5,피에스케이,A319660,kosdaq,6497,2019/05/10,29.18
6,아이원스,A114810,kosdaq,2262,2013/02/07,591.33
7,싸이맥스,A160980,kosdaq,2644,2015/06/17,11.45
8,인텍플러스,A064290,kosdaq,3374,2011/01/05,36.49
9,제주반도체,A080220,kosdaq,2281,2005/02/01,27.22
10,디아이,A003160,kospi,2381,1996/07/31,43.70
11,씨앤지하이테크,A264660,kosdaq,1231,2018/01/25,12.63
12,티에스이,A131290,kosdaq,6714,2011/01/05,24.75
13,제우스,A079370,kosdaq,3105,2006/02/01,17.25
14,월덱스,A101160,kosdaq,4590,2008/06/19,21.04
15,하나머티리얼즈,A166090,kosdaq,8538,2017/04/28,22.43
16,DB하이텍1우,A000995,kospi,121,1975/12/12,28.95
17,에이피티씨,A089970,kosdaq,6304,2018/08/23,26.67
18,엘오티베큠,A083310,kosdaq,3088,2005/10/05,74.79
19,윈팩,A097800,kosdaq,1171,2013/03/07,22.19
20,네온테크,A306620,kosdaq,1592,2018/10/31,-32.42
21,유니셈,A036200,kosdaq,4477,1999/12/10,21.28
22,엘비세미콘,A061970,kosdaq,6458,2011/01/31,23.87
23,이오테크닉스,A039030,kosdaq,16619,2000/08/24,77.84
24,어보브반도체,A102120,kosdaq,2418,2009/06/05,17.23
25,오로스테크놀로지,A322310,kosdaq,4394,2021/02/24,306.49
26,하나마이크론,A067310,kosdaq,3966,2005/10/11,-22.23
27,티엘비,A356860,kosdaq,2202,2020/12/14,15.39
28,나인테크,A267320,kosdaq,1923,2017/06/22,-147.88
29,에이팩트,A200470,kosdaq,1231,2014/12/26,18.50
30,프로텍,A053610,kosdaq,3289,2001/08/17,28.75
31,네패스,A033640,kosdaq,9500,1999/12/14,-19.48
32,성도이엔지,A037350,kosdaq,961,2000/01/11,1.08
33,엑시콘,A092870,kosdaq,1577,2015/10/22,13.19
34,KMH하이텍,A052900,kosdaq,1034,2005/01/18,66.82
35,뉴파워프라즈마,A144960,kosdaq,2914,2016/11/30,8.89
36,제너셈,A217190,kosdaq,474,2015/09/25,-44.63
37,덕산하이메탈,A077360,kosdaq,2976,2005/10/14,19.49
38,마이크로프랜드,A147760,kosdaq,1000,2016/12/12,15.53
39,테크윙,A089030,kosdaq,4527,2011/11/10,14.07
40,엠케이전자,A033160,kosdaq,2551,1997/11/10,9.22
41,코미코,A183300,kosdaq,7054,2017/03/23,28.56
42,원익IPS,A240810,kosdaq,28616,2016/05/02,29.25
43,신성이엔지,A011930,kospi,6881,1996/07/31,-45.40
44,앤씨앤,A092600,kosdaq,1036,2007/06/26,-6.51
45,KEC,A092220,kospi,2807,2006/10/16,-6.20
46,성우테크론,A045300,kosdaq,551,2001/12/18,14.69
47,테스나,A131970,kosdaq,7454,2013/10/22,22.46
48,러셀,A217500,kosdaq,1991,2015/06/16,104.33
49,ISC,A095340,kosdaq,3740,2007/10/01,51.80
50,코세스,A089890,kosdaq,1426,2006/11/08,22.69
51,유니퀘스트,A077500,kospi,3238,2004/08/05,13.50
52,동진쎄미켐,A005290,kosdaq,17532,1999/12/21,20.57
53,케이씨텍,A281820,kospi,6133,2017/12/05,13.78
54,테스,A095610,kosdaq,6998,2008/05/20,23.30
55,SFA반도체,A036540,kosdaq,13732,2001/05/02,81.86
56,원익QnC,A074600,kosdaq,6598,2003/12/12,25.56
57,다믈멀티미디어,A093640,kosdaq,441,2007/10/19,-33.22
58,한양디지텍,A078350,kosdaq,775,2004/05/14,13.71
59,네오셈,A253590,kosdaq,1390,2018/04/04,17.21
60,지니틱스,A303030,kosdaq,1352,2018/08/30,-542.86
