,name,code,class,market_cap,reg_day,per
0,코퍼스코리아,A322780,kosdaq,1196,2019/05/31,57.13
1,IHQ,A003560,kospi,3378,1973/12/18,-18.48
2,이스타코,A015020,kospi,853,1988/12/23,"-1,990.00"
3,아이오케이,A078860,kosdaq,1139,2006/06/27,-30.87
4,현대퓨처넷,A126560,kospi,5745,2010/12/23,-19.50
5,초록뱀,A047820,kosdaq,3137,2002/12/24,-9.88
6,위지윅스튜디오,A299900,kosdaq,4131,2018/12/20,-306.98
7,YG PLUS,A037270,kospi,3665,2003/08/01,-54.53
8,팬엔터테인먼트,A068050,kosdaq,2300,2006/07/07,127.88
9,티비씨,A033830,kosdaq,1515,2010/11/29,39.87
10,드림어스컴퍼니,A060570,kosdaq,3571,2003/12/19,-15.47
11,스튜디오산타클로스,A204630,kosdaq,873,2014/12/29,-9.29
12,빅히트,A352820,kospi,88347,2020/10/15,
13,지니뮤직,A043610,kosdaq,4120,2000/07/20,43.50
14,SM Life Design,A063440,kosdaq,1647,2002/05/30,-53.68
15,LG헬로비전,A037560,kospi,3764,2012/11/09,-1.20
16,와이지엔터테인먼트,A122870,kosdaq,8474,2011/11/23,89.32
17,한국경제TV,A039340,kosdaq,1647,2004/07/30,8.66
18,판타지오,A032800,kosdaq,491,1997/06/26,-15.87
19,쇼박스,A086980,kosdaq,3143,2006/07/07,-119.52
20,iMBC,A052220,kosdaq,1006,2005/01/21,93.09
21,대원미디어,A048910,kosdaq,2799,2001/07/31,68.25
22,키이스트,A054780,kosdaq,2962,2003/11/14,30.05
23,SBS미디어홀딩스,A101060,kospi,2833,2008/03/24,-4.36
24,큐로홀딩스,A051780,kosdaq,661,2001/06/26,-4.94
25,애니플러스,A310200,kosdaq,476,2018/12/21,-13.29
26,SBS콘텐츠허브,A046140,kosdaq,1530,2003/02/05,19.48
27,NEW,A160550,kosdaq,3502,2014/12/23,-63.07
28,에프엔씨엔터,A173940,kosdaq,865,2014/12/04,-11.36
29,스카이라이프,A053210,kospi,4156,2011/06/03,7.27
30,CJ CGV,A079160,kospi,9565,2004/12/24,-1.21
31,키위미디어그룹,A012170,kospi,685,1989/12/20,-8.44
32,씨씨에스,A066790,kosdaq,474,2003/05/30,-13.43
33,이에스에이,A052190,kosdaq,135,2001/06/21,-1.59
34,레드로버,A060300,kosdaq,488,2002/01/10,31.55
35,제이웨이,A058420,kosdaq,67,2002/01/10,-0.51
36,세기상사,A002420,kospi,251,1968/12/27,-16.34
37,에스엠,A041510,kosdaq,6954,2000/04/27,-9.91
38,제이콘텐트리,A036420,kospi,8209,2019/10/18,-5.95
39,갤럭시아에스엠,A011420,kospi,488,1989/11/14,49.17
40,덱스터,A206560,kosdaq,2041,2015/12/22,-67.08
41,스튜디오드래곤,A253450,kosdaq,29794,2017/11/24,95.11
42,CJ ENM,A035760,kosdaq,30767,1999/11/23,54.04
43,바른손이앤에이,A035620,kosdaq,1132,1999/08/13,-14.00
44,JYP Ent.,A035900,kosdaq,12264,2001/08/30,41.53
45,KNN,A058400,kosdaq,2735,2010/11/03,44.89
46,SBS,A034120,kospi,4034,2003/06/25,-6.00
47,YTN,A040300,kosdaq,1596,2001/09/04,20.43
48,NHN벅스,A104200,kosdaq,939,2009/10/06,-25.32
49,엔케이물산,A009810,kospi,525,1988/08/31,7.69
50,큐브엔터,A182360,kosdaq,1322,2013/11/21,-547.14
51,에이스토리,A241840,kosdaq,4115,2019/07/19,-55.43
52,KMH,A122450,kosdaq,5486,2011/05/25,16.85
53,삼화네트웍스,A046390,kosdaq,1880,2001/01/11,-197.95
54,소리바다,A053110,kosdaq,265,2001/10/09,-0.95
