,name,code,class,market_cap,reg_day,per
0,디지캡,A197140,kosdaq,530,2018/09/07,46.13
1,알티캐스트,A085810,kosdaq,608,2013/12/06,-12.02
2,키네마스터,A139670,kosdaq,7627,2011/12/02,311.05
3,드림시큐리티,A203650,kosdaq,2376,2014/10/13,48.40
4,안랩,A053800,kosdaq,6930,2001/09/13,37.32
5,엔지스테크널러지,A208860,kosdaq,405,2016/07/28,-5.67
6,네이블,A153460,kosdaq,431,2012/07/19,75.00
7,파수,A150900,kosdaq,917,2013/10/18,-126.46
8,바이브컴퍼니,A301300,kosdaq,1586,2020/10/28,
9,지란지교시큐리티,A208350,kosdaq,645,2014/12/24,-50.06
10,소프트캠프,A258790,kosdaq,848,2017/04/27,45.88
11,오상자이엘,A053980,kosdaq,1177,2002/04/09,5.10
12,에스에스알,A275630,kosdaq,386,2018/08/06,-25.73
13,웹케시,A053580,kosdaq,5032,2019/01/25,28.95
14,플랜티넷,A075130,kosdaq,616,2005/06/10,61.34
15,휴네시온,A290270,kosdaq,624,2018/08/02,18.62
16,라온시큐어,A042510,kosdaq,1809,2001/01/03,-15.39
17,누리텔레콤,A040160,kosdaq,866,2000/08/29,30.30
18,이글루시큐리티,A067920,kosdaq,738,2010/08/04,15.08
19,엑셈,A205100,kosdaq,1621,2014/11/07,19.77
20,서호전기,A065710,kosdaq,1110,2002/07/16,16.36
21,투비소프트,A079970,kosdaq,854,2010/06/01,-2.68
22,텔코웨어,A078000,kospi,1130,2004/07/20,60.68
23,시큐브,A131090,kosdaq,590,2011/12/21,24.58
24,네오리진,A094860,kosdaq,1122,2007/04/16,-60.97
25,포시에스,A189690,kosdaq,619,2015/02/11,15.67
26,퓨전,A195440,kosdaq,86,2016/12/21,-0.83
27,영림원소프트랩,A060850,kosdaq,1069,2020/08/12,19.17
28,SGA솔루션즈,A184230,kosdaq,563,2013/12/20,9.20
29,포비스티앤씨,A016670,kosdaq,842,1993/04/21,-1.49
30,알서포트,A131370,kosdaq,4469,2011/01/05,-349.58
31,비즈니스온,A138580,kosdaq,2611,2017/11/30,74.27
32,윈스,A136540,kosdaq,2068,2011/05/02,11.31
33,이니텍,A053350,kosdaq,1027,2001/11/15,69.20
34,SGA,A049470,kosdaq,552,2001/10/11,13.95
35,핸디소프트,A220180,kosdaq,702,2016/11/24,20.22
36,한컴위드,A054920,kosdaq,2520,2001/11/01,33.07
37,아이퀘스트,A262840,kosdaq,1454,2021/02/05,28.15
38,마이더스AI,A222810,kosdaq,624,2015/08/13,-2.49
39,한글과컴퓨터,A030520,kosdaq,4435,1996/09/24,12.25
40,링크제니시스,A219420,kosdaq,795,2018/02/05,124.22
41,아톤,A158430,kosdaq,1043,2019/10/17,87.73
42,지니언스,A263860,kosdaq,708,2017/08/02,20.66
43,미디어젠,A279600,kosdaq,540,2019/11/05,-151.30
44,알체라,A347860,kosdaq,4539,2020/12/21,-104.46
45,한컴MDS,A086960,kosdaq,1355,2006/09/26,32.18
46,이스트소프트,A047560,kosdaq,1049,2008/07/01,17.12
47,인프라웨어,A041020,kosdaq,948,2005/10/28,-843.33
48,모바일리더,A100030,kosdaq,685,2010/05/25,13.60
49,케이사인,A192250,kosdaq,1481,2014/04/28,31.74
50,더존비즈온,A012510,kospi,28100,1988/10/28,51.38
