,name,code,class,market_cap,reg_day,per
0,SG충방,A001380,kospi,1855,1976/06/29,-80.88
1,SG&G,A040610,kosdaq,1072,2000/04/27,4.04
2,티피씨글로벌,A130740,kosdaq,603,2011/02/08,24.43
3,화신,A010690,kospi,1816,1994/01/14,-3.35
4,아이에이,A038880,kosdaq,4361,2000/04/27,31.40
5,현대위아,A011210,kospi,22463,2011/02/21,36.84
6,성우하이텍,A015750,kosdaq,5360,1995/11/04,-10.29
7,태양금속,A004100,kospi,666,1976/05/25,-7.66
8,에스엘,A005850,kospi,11400,1988/11/08,17.36
9,두올,A016740,kospi,1424,2016/07/29,33.08
10,덕양산업,A024900,kospi,1008,1997/06/23,-17.19
11,삼보모터스,A053700,kosdaq,1256,2001/11/06,-20.08
12,대성엘텍,A025440,kosdaq,1351,1995/05/22,-335.00
13,대원강업,A000430,kospi,2849,1977/06/22,-44.18
14,코리아에프티,A123410,kosdaq,967,2010/08/27,26.33
15,한국단자,A025540,kospi,8332,1996/10/16,14.41
16,현대모비스,A012330,kospi,290067,1989/09/05,19.03
17,KB오토시스,A024120,kosdaq,1162,1994/12/07,34.95
18,성창오토텍,A080470,kosdaq,723,2006/11/03,86.93
19,GH신소재,A130500,kosdaq,654,2013/08/02,"1,190.00"
20,삼원강재,A023000,kospi,1482,2011/07/22,18.25
21,티에이치엔,A019180,kospi,596,1996/07/31,-3.67
22,평화정공,A043370,kosdaq,2258,2001/12/13,28.51
23,글로벌에스엠,A900070,kosdaq,664,2009/12/23,
24,아진산업,A013310,kosdaq,1484,2015/12/22,-106.25
25,HDC현대EP,A089470,kospi,2038,2006/09/25,14.79
26,디아이씨,A092200,kospi,1250,2007/10/18,-1.03
27,인팩,A023810,kospi,721,2004/09/21,21.39
28,서진오토모티브,A122690,kosdaq,573,2010/05/25,-4.22
29,코다코,A046070,kosdaq,502,2000/12/26,-2.88
30,대유에이텍,A002880,kospi,1198,1977/02/18,-58.68
31,만도,A204320,kospi,31931,2014/10/06,552.85
32,동아화성,A041930,kosdaq,1943,2001/12/26,79.87
33,유성기업,A002920,kospi,855,1988/10/10,-18.10
34,우리산업,A215360,kosdaq,2630,2015/05/06,50.17
35,캐스텍코리아,A071850,kosdaq,597,2014/05/27,-3.26
36,센트랄모텍,A308170,kospi,2574,2019/11/25,36.96
37,대원산업,A005710,kosdaq,1517,1993/06/21,8.39
38,현대공업,A170030,kosdaq,1542,2013/12/04,13.84
39,유라테크,A048430,kosdaq,1336,2001/01/11,30.13
40,에코캡,A128540,kosdaq,624,2018/12/05,-5.62
41,명신산업,A009900,kospi,10684,2020/12/07,
42,엠에스오토텍,A123040,kosdaq,2532,2010/08/06,-2.71
43,영화테크,A265560,kosdaq,1141,2017/10/26,266.88
44,모트렉스,A118990,kosdaq,2379,2017/08/04,-12.42
45,상신브레이크,A041650,kospi,907,2004/10/27,-34.07
46,세종공업,A033530,kospi,2543,2002/09/25,-12.54
47,동원금속,A018500,kospi,547,1995/11/10,-2.59
48,일정실업,A008500,kospi,194,1994/08/12,-4.60
49,코프라,A126600,kosdaq,1269,2010/11/12,9.97
50,우리산업홀딩스,A072470,kosdaq,1050,2003/10/28,52.45
51,서연이화,A200880,kospi,2811,2014/08/08,-6.81
52,태양금속우,A004105,kospi,100,1976/05/25,-12.78
53,우수AMS,A066590,kosdaq,2255,2003/02/12,-22.29
54,솔루에타,A154040,kosdaq,541,2013/12/27,-5.52
55,엔브이에이치코리아,A067570,kosdaq,1689,2013/12/03,-10.97
56,화신정공,A126640,kosdaq,784,2010/08/31,16.20
57,에코플라스틱,A038110,kosdaq,818,2000/03/23,-13.05
58,지엠비코리아,A013870,kospi,1421,2012/11/20,-17.25
59,계양전기,A012200,kospi,1446,1988/07/06,15.09
60,인지컨트롤스,A023800,kospi,2297,1997/06/23,-72.84
61,한국프랜지,A010100,kospi,941,1987/10/02,8.15
62,경창산업,A024910,kosdaq,1014,1994/12/29,21.12
63,구영테크,A053270,kosdaq,1280,2002/02/07,173.21
64,SJM,A123700,kospi,669,2010/05/31,24.91
65,트루윈,A105550,kosdaq,933,2014/07/11,100.19
66,계양전기우,A012205,kospi,97,1988/07/06,23.54
67,평화홀딩스,A010770,kospi,543,1986/03/31,-17.50
68,넥센타이어,A002350,kospi,7452,1976/05/19,-47.39
69,금호타이어,A073240,kospi,11002,2005/02/17,-13.25
70,영신금속,A007530,kosdaq,470,1994/08/05,-22.62
71,THE MIDONG,A161570,kosdaq,283,2013/11/13,-3.62
72,동양피스톤,A092780,kospi,740,2017/12/08,-10.18
73,넥센우,A005725,kospi,108,1987/12/19,15.82
74,핸즈코퍼레이션,A143210,kospi,1480,2016/12/02,-18.81
75,부산주공,A005030,kospi,386,1975/12/26,-2.19
76,동아타이어,A282690,kospi,1593,2017/11/29,11.95
77,대유플러스,A000300,kospi,948,1975/06/09,-10.49
78,크린앤사이언스,A045520,kosdaq,1748,2000/12/05,13.06
79,풍강,A093380,kosdaq,409,2007/06/01,33.12
80,동일고무벨트,A163560,kospi,1245,2012/10/19,17.40
81,넥센,A005720,kospi,2543,1987/12/19,25.00
82,로스웰,A900260,kosdaq,448,2016/06/30,-1.99
83,한일단조,A024740,kosdaq,610,1996/11/29,-18.05
84,케이비아이동국실업,A001620,kospi,602,1990/09/15,-5.15
85,디젠스,A113810,kosdaq,295,2012/11/22,-4.85
86,네오오토,A212560,kosdaq,710,2015/11/18,20.02
87,세원,A234100,kosdaq,1982,2017/10/20,18.59
88,유니온머티리얼,A047400,kospi,1737,2009/09/29,-129.22
89,한라홀딩스,A060980,kospi,4257,2010/05/19,9.66
90,대우부품,A009320,kospi,1234,1989/08/25,-34.08
91,지코,A010580,kospi,198,1994/12/27,-1.27
