,name,code,class,market_cap,reg_day,per
0,슈프리마에이치큐,A094840,kosdaq,1100,2008/07/11,16.46
1,이그잭스,A060230,kosdaq,1373,2002/06/25,-104.12
2,써니전자,A004770,kospi,1279,1987/04/22,21.59
3,파크시스템스,A140860,kosdaq,9759,2015/12/17,97.92
4,에스에이엠티,A031330,kosdaq,2905,2000/05/23,6.69
5,에이치시티,A072990,kosdaq,977,2016/10/17,9.55
6,일진머티리얼즈,A020150,kospi,33154,2011/03/04,77.56
7,아모그린텍,A125210,kosdaq,2466,2019/03/29,226.52
8,인터플렉스,A051370,kosdaq,2963,2003/01/22,-6.79
9,유니온커뮤니티,A203450,kosdaq,719,2016/12/07,32.85
10,바이오스마트,A038460,kosdaq,1109,2000/06/22,-12.66
11,남성,A004270,kospi,1521,1989/11/14,-9.50
12,슈프리마아이디,A317770,kosdaq,538,2019/08/01,68.01
13,옴니시스템,A057540,kosdaq,1027,2007/09/19,-20.28
14,자화전자,A033240,kospi,3124,1999/01/06,-49.29
15,상신전자,A263810,kosdaq,696,2017/10/16,33.46
16,포인트모바일,A318020,kosdaq,3241,2020/12/03,-14.62
17,에스티큐브,A052020,kosdaq,3119,2001/07/05,-19.14
18,대동전자,A008110,kospi,636,1990/06/05,31.73
19,라온피플,A300120,kosdaq,2645,2019/10/18,-64.78
20,윈텍,A320000,kosdaq,524,2019/09/18,-31.44
21,솔루스첨단소재1우,A33637K,kospi,1116,2019/10/18,-54.30
22,솔루스첨단소재,A336370,kospi,14928,2019/10/18,-174.91
23,삼성전기,A009150,kospi,145653,1979/02/27,25.05
24,솔루스첨단소재2우B,A33637L,kospi,413,2019/10/18,-89.96
25,심텍,A222800,kosdaq,7135,2015/08/07,11.53
26,슈프리마,A236200,kosdaq,1924,2016/02/05,20.42
27,인터엠,A017250,kosdaq,341,1996/01/03,-1.65
28,코리아써키트,A007810,kospi,3000,1985/09/09,30.02
29,비에이치,A090460,kosdaq,6092,2007/01/26,23.27
30,매커스,A093520,kosdaq,913,2007/02/12,11.46
31,액트,A131400,kosdaq,1080,2010/12/27,-15.53
32,삼화전자,A011230,kospi,409,1987/05/25,-19.55
33,삼양옵틱스,A225190,kosdaq,1005,2017/06/02,46.98
34,에이프로,A262260,kosdaq,2787,2020/07/16,262.99
35,코리아써키트2우B,A00781K,kospi,50,1985/09/09,15.22
36,삼성전기우,A009155,kospi,3387,1979/02/27,14.97
37,백금T&A,A046310,kosdaq,525,2002/02/05,-9.51
38,아이엠,A101390,kosdaq,562,2008/07/23,-4.46
39,우리기술,A032820,kosdaq,1690,2000/06/22,-120.45
40,모비스,A250060,kosdaq,931,2016/09/08,-64.33
41,제이앤티씨,A204270,kosdaq,5872,2020/03/04,9.75
42,LG이노텍,A011070,kospi,49701,2008/07/24,21.05
43,대덕전자1우,A35320K,kospi,192,2020/05/21,-36.13
44,카스,A016920,kosdaq,576,1990/01/04,-25.32
45,이랜시스,A264850,kosdaq,702,2017/06/01,20.17
46,아이디스홀딩스,A054800,kosdaq,1330,2001/09/27,39.18
47,제이씨현시스템,A033320,kosdaq,1527,1997/11/10,14.63
48,심텍홀딩스,A036710,kosdaq,1053,2000/01/04,4.45
49,이수페타시스,A007660,kospi,1380,2003/10/07,-10.23
50,아이티엠반도체,A084850,kosdaq,10311,2019/11/07,69.58
51,모아텍,A033200,kosdaq,1397,1997/10/13,-48.51
52,솔루엠,A248070,kospi,12445,2021/02/02,25.81
53,이녹스첨단소재,A272290,kosdaq,5312,2017/07/10,21.67
54,코너스톤네트웍스,A033110,kosdaq,265,1997/08/18,-0.71
55,S&K폴리텍,A091340,kosdaq,605,2007/07/30,-9.72
56,아래스,A050320,kosdaq,452,2002/01/15,165.00
57,세코닉스,A053450,kosdaq,927,2001/08/09,-2.58
58,에스디시스템,A121890,kosdaq,71,2010/07/16,-3.19
59,ITX-AI,A099520,kosdaq,377,2009/12/22,-8.13
60,대주전자재료,A078600,kosdaq,6432,2004/12/10,126.28
61,센코,A347000,kosdaq,1814,2020/10/29,
62,씨엔플러스,A115530,kosdaq,570,2011/11/02,-19.07
63,엠투아이,A347890,kosdaq,1646,2020/07/29,15.56
64,옵트론텍,A082210,kosdaq,2188,2005/06/24,-29.24
65,하나기술,A299030,kosdaq,2149,2020/11/25,-9.98
66,아이디스,A143160,kosdaq,3054,2011/09/26,27.22
67,광전자,A017900,kospi,1396,1996/10/16,-8.80
68,모다이노칩,A080420,kosdaq,2830,2005/12/06,26.69
69,에이엔피,A015260,kospi,324,1988/01/18,-0.81
70,이트론,A096040,kosdaq,3536,2008/01/25,-25.92
71,고영,A098460,kosdaq,16189,2008/06/03,176.76
72,현우산업,A092300,kosdaq,684,2007/10/24,60.55
73,디티앤씨,A187220,kosdaq,797,2014/12/17,-14.50
74,코리아써우,A007815,kospi,176,1985/09/09,14.04
75,동일기연,A032960,kosdaq,462,1997/07/18,59.17
76,코나아이,A052400,kosdaq,6286,2001/10/18,33.03
77,아이씨케이,A068940,kosdaq,1363,2010/10/19,-38.16
78,대덕전자,A353200,kospi,6968,2020/05/21,-55.73
79,에스텍,A069510,kosdaq,1178,2003/11/14,9.67
80,다원시스,A068240,kosdaq,4966,2010/09/14,34.56
81,유일에너테크,A340930,kosdaq,2298,2021/02/25,39.96
82,위드텍,A348350,kosdaq,2286,2020/10/30,
83,디에이피,A066900,kosdaq,994,2004/05/14,19.86
84,뉴프렉스,A085670,kosdaq,375,2006/01/17,-3.87
85,인콘,A083640,kosdaq,1037,2005/12/27,-21.79
86,엔시스,A333620,kosdaq,2887,2021/04/01,111.45
