,name,code,class,market_cap,reg_day,per
0,한화투자증권우,A003535,kospi,504,1986/11/25,34.31
1,한국금융지주,A071050,kospi,50098,2003/07/21,6.41
2,한국금융지주우,A071055,kospi,3825,2003/07/21,4.66
3,코리아에셋투자증권,A190650,kosdaq,617,2019/11/20,5.72
4,키움증권,A039490,kospi,35142,2009/08/03,4.88
5,KTB투자증권,A030210,kospi,2943,1996/11/19,5.42
6,유안타증권,A003470,kospi,7475,1988/01/21,7.58
7,DB금융투자,A016610,kospi,2593,1988/06/27,2.69
8,삼성증권,A016360,kospi,35140,1988/03/28,7.47
9,미래에셋대우2우B,A00680K,kospi,6286,1975/09/30,4.40
10,NH투자증권,A005940,kospi,32503,1975/09/30,6.01
11,미래에셋대우,A006800,kospi,61689,1975/09/30,9.51
12,미래에셋대우우,A006805,kospi,702,1975/09/30,4.88
13,한양증권우,A001755,kospi,92,1988/03/04,5.40
14,유화증권우,A003465,kospi,462,1987/08/24,33.91
15,NH투자증권우,A005945,kospi,1823,1975/09/30,5.03
16,부국증권우,A001275,kospi,604,1988/07/19,5.39
17,부국증권,A001270,kospi,2370,1988/07/19,6.11
18,유화증권,A003460,kospi,1483,1987/08/24,33.53
19,한양증권,A001750,kospi,1476,1988/03/04,3.58
20,다우데이타,A032190,kosdaq,4922,1999/12/21,5.12
21,한화투자증권,A003530,kospi,9676,1986/11/25,14.74
22,교보증권,A030610,kospi,5088,2002/07/18,4.14
23,현대차증권,A001500,kospi,3891,1990/06/09,5.95
24,유안타증권우,A003475,kospi,500,1988/01/21,7.83
25,신영증권우,A001725,kospi,3922,1987/08/24,8.78
26,신영증권,A001720,kospi,5294,1987/08/24,8.91
27,이베스트투자증권,A078020,kosdaq,4050,2007/02/21,4.55
28,유진투자증권,A001200,kospi,3884,1987/08/24,6.14
29,메리츠증권,A008560,kospi,30486,1992/01/15,5.53
30,상상인증권,A001290,kospi,1177,1988/09/23,21.88
31,SK증권,A001510,kospi,4164,1986/09/20,58.73
32,SK증권우,A001515,kospi,187,1986/09/20,318.67
33,대신증권,A003540,kospi,8327,1975/10/01,15.12
34,대신증권2우B,A003547,kospi,1325,1975/10/01,12.21
35,대신증권우,A003545,kospi,3523,1975/10/01,12.49
