,name,code,class,market_cap,reg_day,per
0,SBI인베스트먼트,A019550,kosdaq,3557,1989/09/06,25.52
1,TS인베스트먼트,A246690,kosdaq,1708,2016/12/15,21.14
2,우리기술투자,A041190,kosdaq,8778,2000/06/09,30.65
3,엠벤처투자,A019590,kosdaq,834,1989/03/14,-7.94
4,미래에셋벤처투자,A100790,kosdaq,4481,2019/03/15,13.97
5,SV인베스트먼트,A289080,kosdaq,2574,2018/07/06,89.54
6,큐캐피탈,A016600,kosdaq,1170,1993/06/21,33.19
7,대신밸런스제7호스팩,A332290,kosdaq,110,2019/10/11,-527.50
8,에이티넘인베스트,A021080,kosdaq,3038,1991/07/12,20.75
9,에이치엠씨제4호스팩,A353070,kosdaq,92,2020/07/29,-306.43
10,신영스팩5호,A323280,kosdaq,75,2019/06/24,-710.00
11,유안타제6호스팩,A340360,kosdaq,225,2019/12/19,"1,093.33"
12,케이비17호스팩,A317030,kosdaq,116,2019/03/27,264.38
13,교보10호스팩,A355150,kosdaq,112,2020/09/18,-123.82
14,엔에이치스팩17호,A359090,kosdaq,147,2020/09/23,-262.50
15,DSC인베스트먼트,A241520,kosdaq,1951,2016/12/19,7.98
16,한화플러스제1호스팩,A340440,kosdaq,98,2019/12/27,
17,미래에셋대우스팩3호,A328380,kosdaq,136,2019/08/20,350.00
18,유안타제4호스팩,A313750,kosdaq,98,2019/03/21,264.38
19,엔에이치스팩18호,A365590,kosdaq,96,2020/12/21,-32.73
20,케이비제18호스팩,A323940,kosdaq,162,2019/06/24,259.38
21,엔에이치스팩13호,A310840,kosdaq,72,2018/12/24,"-2,115.00"
22,DB금융스팩9호,A367360,kosdaq,99,2021/03/16,
23,상상인이안1호스팩,A307870,kosdaq,101,2018/12/12,163.85
24,하이제5호스팩,A340120,kosdaq,105,2019/12/23,174.58
25,SK6호스팩,A340350,kosdaq,118,2020/03/11,516.25
26,한국9호스팩,A368770,kosdaq,99,2021/01/21,-34.92
27,유안타제8호스팩,A367480,kosdaq,132,2021/04/05,
28,유안타제7호스팩,A367460,kosdaq,117,2020/12/28,-35.33
29,하나금융15호스팩,A341160,kosdaq,99,2020/01/30,211.00
30,케이비제20호스팩,A342550,kosdaq,134,2020/01/30,206.50
31,하나금융16호스팩,A343510,kosdaq,84,2020/07/23,-160.77
32,엔에이치스팩16호,A353190,kosdaq,94,2020/06/17,-218.00
33,신한제7호스팩,A366330,kosdaq,94,2021/02/04,-11.32
34,하나금융17호스팩,A363260,kosdaq,141,2021/02/10,
35,신영스팩6호,A344050,kosdaq,90,2020/02/12,-95.00
36,케이프이에스제4호,A347140,kosdaq,62,2020/03/24,"1,032.50"
37,이베스트스팩5호,A349720,kosdaq,75,2020/05/20,-259.38
38,IBKS제12호스팩,A335870,kosdaq,68,2019/12/09,-217.50
39,키움제5호스팩,A311270,kosdaq,77,2018/12/26,358.33
40,아주IB투자,A027360,kosdaq,8497,2018/11/21,28.52
41,한국제8호스팩,A310870,kosdaq,72,2018/12/20,234.44
42,케이비제19호스팩,A330990,kosdaq,90,2019/09/30,522.50
43,유진스팩5호,A331380,kosdaq,85,2019/10/02,301.43
44,교보9호스팩,A331520,kosdaq,81,2019/10/29,-233.33
45,하나금융14호스팩,A332710,kosdaq,93,2019/11/01,301.43
46,신한제6호스팩,A333050,kosdaq,104,2019/10/31,693.33
47,삼성스팩2호,A291230,kosdaq,165,2018/09/13,242.22
48,린드먼아시아,A277070,kosdaq,968,2018/03/14,19.07
49,하나머스트7호스팩,A372290,kosdaq,90,2021/03/05,
50,DB금융스팩8호,A367340,kosdaq,126,2020/12/09,-74.11
51,유진스팩4호,A321260,kosdaq,74,2019/05/31,353.33
52,하나머스트제6호스팩,A307160,kosdaq,100,2018/11/30,182.08
53,IBKS제15호스팩,A373200,kosdaq,73,2021/02/26,
54,SK5호스팩,A337450,kosdaq,90,2019/12/04,419.00
55,대신밸런스제8호스팩,A336570,kosdaq,117,2019/12/19,297.86
56,상상인이안제2호스팩,A329560,kosdaq,79,2019/08/30,292.14
57,SK4호스팩,A307070,kosdaq,105,2018/12/07,408.00
58,IBKS제14호스팩,A351320,kosdaq,92,2020/06/22,-163.08
59,에이치엠씨제5호스팩,A353060,kosdaq,104,2020/12/16,-23.60
60,미래에셋대우스팩 5호,A353490,kosdaq,106,2020/08/28,-116.67
61,유안타제5호스팩,A336060,kosdaq,123,2019/11/28,138.67
62,미래에셋대우스팩4호,A333430,kosdaq,135,2019/11/06,"-3,070.00"
63,이베스트이안스팩1호,A323210,kosdaq,67,2019/07/15,190.45
64,IBKS제13호스팩,A351340,kosdaq,109,2020/07/15,-123.53
65,한화에스비아이스팩,A317320,kosdaq,119,2019/05/03,911.67
66,나우IB,A293580,kosdaq,1066,2018/10/04,13.98
67,리더스 기술투자,A019570,kosdaq,900,1989/03/14,3.81
68,대성창투,A027830,kosdaq,1968,1999/11/30,149.09
69,컴퍼니케이,A307930,kosdaq,1897,2019/05/23,19.22
