,name,code,class,market_cap,reg_day,per
0,웨이브일렉트로,A095270,kosdaq,790,2007/09/12,-2.45
1,유비벨록스,A089850,kosdaq,897,2010/06/18,12.59
2,감마누,A192410,kosdaq,1463,2014/08/14,-12.57
3,메탈라이프,A327260,kosdaq,1016,2019/12/24,-165.20
4,인텔리안테크,A189300,kosdaq,5384,2016/10/18,936.84
5,릭스솔루션,A029480,kosdaq,516,1996/08/27,-2.17
6,이노인스트루먼트,A215790,kosdaq,947,2015/05/08,15.16
7,기산텔레콤,A035460,kosdaq,434,1999/11/18,991.67
8,에이스테크,A088800,kosdaq,8601,2006/03/27,-10.62
9,에치에프알,A230240,kosdaq,3163,2015/12/16,-10.70
10,오이솔루션,A138080,kosdaq,5052,2014/02/27,40.89
11,에스넷,A038680,kosdaq,1247,2000/04/27,34.34
12,다산네트웍스,A039560,kosdaq,3702,2000/06/22,-26.11
13,아이크래프트,A052460,kosdaq,1367,2005/01/03,118.48
14,RFHIC,A218410,kosdaq,9157,2015/06/30,451.76
15,서진시스템,A178320,kosdaq,8408,2017/03/27,-152.80
16,케이엠더블유,A032500,kosdaq,25844,2000/03/21,97.01
17,인성정보,A033230,kosdaq,809,1999/07/30,-8.73
18,코맥스,A036690,kosdaq,891,2000/01/18,36.89
19,아이앤씨,A052860,kosdaq,792,2009/10/06,-12.90
20,이노와이어리스,A073490,kosdaq,3389,2005/02/04,25.49
21,뉴지랩,A214870,kosdaq,3245,2015/10/13,-13.01
22,우리넷,A115440,kosdaq,802,2010/01/27,-6.88
23,코위버,A056360,kosdaq,918,2001/12/04,16.38
24,CS,A065770,kosdaq,513,2004/06/04,302.78
25,머큐리,A100590,kosdaq,1498,2018/12/14,18.26
26,쏠리드,A050890,kosdaq,4707,2005/07/08,-40.81
27,텔콘RF제약,A200230,kosdaq,4402,2014/11/24,-10.00
28,옵티시스,A109080,kosdaq,523,2011/07/12,34.24
29,파이오링크,A170790,kosdaq,891,2013/08/01,8.35
30,알엔투테크놀로지,A148250,kosdaq,1295,2016/06/22,31.64
31,라닉스,A317120,kosdaq,1257,2019/09/18,-54.36
32,라이트론,A069540,kosdaq,1256,2004/02/13,-5.08
33,스카이문스테크놀로지,A033790,kosdaq,142,2001/06/26,-16.92
34,삼지전자,A037460,kosdaq,2219,1999/12/16,8.25
35,피피아이,A062970,kosdaq,521,2019/12/26,-10.41
36,코콤,A015710,kosdaq,1287,1997/09/30,17.69
37,유비쿼스,A264450,kosdaq,2244,2017/03/31,13.94
38,텔레필드,A091440,kosdaq,367,2008/02/01,-5.37
39,빛샘전자,A072950,kosdaq,450,2012/03/21,38.87
40,에프알텍,A073540,kosdaq,545,2007/05/18,-13.95
41,유비쿼스홀딩스,A078070,kosdaq,4020,2009/01/23,42.07
42,아이즈비전,A031310,kosdaq,761,1997/07/25,6.27
43,하이트론,A019490,kospi,652,1998/11/04,-2.51
44,현대통신,A039010,kosdaq,919,2000/07/20,10.06
